movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,keywords,id,poster_path,comb
It Chapter Two,Andy Muschietti,Bill Skarsgård,James McAvoy,Jessica Chastain,Horror Thriller,based on novel or book clown carnival sequel remake maine creature fear lgbt ancient evil loss of a friend,474350,/zfE0R94v1E8cuKAerbskfD3VfUt.jpg,andy muschietti bill skarsgård james mcavoy jessica chastain horror thriller based on novel or book clown carnival sequel remake maine creature fear lgbt ancient evil loss of a friend
How to Train Your Dragon: Homecoming,Tim Johnson,Jay Baruchel,America Ferrera,Gerard Butler,Animation Fantasy Adventure Action Family,dragon short film adoring,638507,/kXj2Qrfm994yLeuADqbOieU1mUH.jpg,tim johnson jay baruchel america ferrera gerard butler animation fantasy adventure action family dragon short film adoring
1917,Sam Mendes,George MacKay,Dean-Charles Chapman,Mark Strong,War History Thriller Drama,race against time world war i british army soldier real time trenches 1910s trench warfare no man's land,530915,/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,sam mendes george mackay dean-charles chapman mark strong war history thriller drama race against time world war i british army soldier real time trenches 1910s trench warfare no man's land
Weathering with You,Makoto Shinkai,Kotaro Daigo,Nana Mori,Tsubasa Honda,Animation Drama Fantasy Romance,"japan magic climate change rain surrealism weather weather manipulation romance slice of life tokyo, japan orphan summer shrine flood japanese mythology anime time skip supernatural power comforting",568160,/qgrk7r1fV4IjuoeiGS5HOhXNdLJ.jpg,"makoto shinkai kotaro daigo nana mori tsubasa honda animation drama fantasy romance japan magic climate change rain surrealism weather weather manipulation romance slice of life tokyo, japan orphan summer shrine flood japanese mythology anime time skip supernatural power comforting"
Ford v Ferrari,James Mangold,Matt Damon,Christian Bale,Jon Bernthal,Drama Action History,based on novel or book car race sports car mechanic biography based on true story le mans racing race car driver aggressive 1960s powerful,359724,/dR1Ju50iudrOh3YgfwkAU1g2HZe.jpg,james mangold matt damon christian bale jon bernthal drama action history based on novel or book car race sports car mechanic biography based on true story le mans racing race car driver aggressive 1960s powerful
Five Feet Apart,Justin Baldoni,Haley Lu Richardson,Cole Sprouse,Moisés Arias,Romance Drama,forbidden love terminal illness hospital best friend falling in love cystic fibrosis star crossed lovers first date true love teenager dramatic sentimental romantic melodramatic,527641,/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg,justin baldoni haley lu richardson cole sprouse moisés arias romance drama forbidden love terminal illness hospital best friend falling in love cystic fibrosis star crossed lovers first date true love teenager dramatic sentimental romantic melodramatic
Toy Story 4,Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Family Adventure Animation Comedy Fantasy,friendship cartoon rescue mission sequel anti villain buddy cowboy duringcreditsstinger toy comes to life dedication awestruck,301528,/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg,josh cooley tom hanks tim allen annie potts family adventure animation comedy fantasy friendship cartoon rescue mission sequel anti villain buddy cowboy duringcreditsstinger toy comes to life dedication awestruck
Frozen II,Jennifer Lee,Idina Menzel,Kristen Bell,Josh Gad,Family Animation Adventure Comedy Fantasy,princess magic kingdom winter queen castle musical sequel dam spirit aftercreditsstinger frozen personification thoughtful mother daughter relationship compassionate,330457,/mINJaa34MtknCYl5AjtNJzWj8cD.jpg,jennifer lee idina menzel kristen bell josh gad family animation adventure comedy fantasy princess magic kingdom winter queen castle musical sequel dam spirit aftercreditsstinger frozen personification thoughtful mother daughter relationship compassionate
The Secret Life of Pets 2,Chris Renaud,Patton Oswalt,Kevin Hart,Eric Stonestreet,Adventure Animation Comedy Family,new york city friendship villain sequel dog talking animal illumination,412117,/s9xg4V5EDKiphgIksVJ9gewBM11.jpg,chris renaud patton oswalt kevin hart eric stonestreet adventure animation comedy family new york city friendship villain sequel dog talking animal illumination
Men in Black: International,F. Gary Gray,Chris Hemsworth,Tessa Thompson,Rebecca Ferguson,Comedy Science Fiction Action,"london, england paris, france secret organization sahara desert based on comic sequel co-workers relationship alien invasion brooklyn, new york city eiffel tower, paris buddy cop alien friendship weapons trafficking marrakesh, morocco",479455,/dPrUPFcgLfNbmDL8V69vcrTyEfb.jpg,"f. gary gray chris hemsworth tessa thompson rebecca ferguson comedy science fiction action london, england paris, france secret organization sahara desert based on comic sequel co-workers relationship alien invasion brooklyn, new york city eiffel tower, paris buddy cop alien friendship weapons trafficking marrakesh, morocco"
Portrait of a Lady on Fire,Céline Sciamma,Noémie Merlant,Adèle Haenel,Luàna Bajrami,Drama Romance History,island fire beach arranged marriage classical music painting painter greek mythology lesbian relationship person on fire period drama lesbian sex portrait lgbt 18th century criterion woman director abortion portrait drawing posing for a portrait women gathering women in film walk painting lesson symphony orchestra lesbian serene serious woman falls in love vivaldi women,531428,/2LquGwEhbg3soxSCs9VNyh5VJd9.jpg,céline sciamma noémie merlant adèle haenel luàna bajrami drama romance history island fire beach arranged marriage classical music painting painter greek mythology lesbian relationship person on fire period drama lesbian sex portrait lgbt 18th century criterion woman director abortion portrait drawing posing for a portrait women gathering women in film walk painting lesson symphony orchestra lesbian serene serious woman falls in love vivaldi women
Little Women,Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Drama Romance History,new york city sibling relationship based on novel or book massachusetts affectation coming of age remake period drama american civil war christmas 19th century sister sister relationship female writer clinical sisters dignified,331482,/yn5ihODtZ7ofn8pDYfxCmxh8AXI.jpg,greta gerwig saoirse ronan emma watson florence pugh drama romance history new york city sibling relationship based on novel or book massachusetts affectation coming of age remake period drama american civil war christmas 19th century sister sister relationship female writer clinical sisters dignified
Us,Jordan Peele,Lupita Nyong'o,Winston Duke,Elisabeth Moss,Horror Mystery Thriller,"mask boardwalk murder psychological thriller fear family vacation home invasion amusement park doppelgänger santa cruz, california 1980s duality",458723,/ux2dU1jQ2ACIMShzB3yP93Udpzc.jpg,"jordan peele lupita nyong'o winston duke elisabeth moss horror mystery thriller mask boardwalk murder psychological thriller fear family vacation home invasion amusement park doppelgänger santa cruz, california 1980s duality"
Triple Frontier,J.C. Chandor,Ben Affleck,Oscar Isaac,Charlie Hunnam,Action Thriller Crime Adventure,peru cocaine amazon rainforest survival drug cartel drug lord andes mountains ex special forces treasure heist,399361,/aBw8zYuAljVM1FeK5bZKITPH8ZD.jpg,j.c. chandor ben affleck oscar isaac charlie hunnam action thriller crime adventure peru cocaine amazon rainforest survival drug cartel drug lord andes mountains ex special forces treasure heist
Dora and the Lost City of Gold,James Bobin,Isabela Merced,Jeffrey Wahlberg,Madeleine Madden,Family Comedy Adventure,peru museum fox based on cartoon jungle lost city quicksand monkey lost civilization teenage protagonist based on tv series live action,499701,/xvYCZ740XvngXK0FNeSNVTJJJ5v.jpg,james bobin isabela merced jeffrey wahlberg madeleine madden family comedy adventure peru museum fox based on cartoon jungle lost city quicksand monkey lost civilization teenage protagonist based on tv series live action
Charlie's Angels,Elizabeth Banks,Kristen Stewart,Naomi Scott,Ella Balinska,Action Adventure Comedy,"training high technology betrayal female protagonist scientist agent female agent undercover operation hamburg, germany duringcreditsstinger woman director hand to hand combat istanbul, turkey new recruit based on tv series",458897,/1DPUFG6QnGqzpvEaDEv7TaepycM.jpg,"elizabeth banks kristen stewart naomi scott ella balinska action adventure comedy training high technology betrayal female protagonist scientist agent female agent undercover operation hamburg, germany duringcreditsstinger woman director hand to hand combat istanbul, turkey new recruit based on tv series"
The Curse of La Llorona,Michael Chaves,Linda Cardellini,Raymond Cruz,Patricia Velásquez,Horror,"mexico 1970s supernatural priest los angeles, california folklore supernatural horror mexican folklore horror",480414,/hETrPpoKs6BwoilK64YJ7Z5GcRT.jpg,"michael chaves linda cardellini raymond cruz patricia velásquez horror mexico 1970s supernatural priest los angeles, california folklore supernatural horror mexican folklore horror"
Rambo: Last Blood,Adrian Grünberg,Sylvester Stallone,Paz Vega,Sergio Peris-Mencheta,Action Thriller Drama,post-traumatic stress disorder (ptsd) arizona human trafficking affectation sequel father figure last stand horse ranch mexican american border revenge plot angry mexican cartel vindictive,522938,/kTQ3J8oTTKofAVLYnds2cHUz9KO.jpg,adrian grünberg sylvester stallone paz vega sergio peris-mencheta action thriller drama post-traumatic stress disorder (ptsd) arizona human trafficking affectation sequel father figure last stand horse ranch mexican american border revenge plot angry mexican cartel vindictive
Queen of Hearts,May el-Toukhy,Trine Dyrholm,Gustav Lindh,Magnus Krepper,Drama,lawyer incest older woman younger man relationship woman director erotic thriller age-gap relationship stepmother stepson relationship cheating wife stepmother stepson incest stepmother stepson sex,519465,/dfFVDIgovEfQZn53VRKLV2JQnRJ.jpg,may el-toukhy trine dyrholm gustav lindh magnus krepper drama lawyer incest older woman younger man relationship woman director erotic thriller age-gap relationship stepmother stepson relationship cheating wife stepmother stepson incest stepmother stepson sex
The Angry Birds Movie 2,Thurop Van Orman,Jason Sudeikis,Josh Gad,Danny McBride,Family Comedy Adventure Animation,island rivalry sequel family based on video game animal kingdom cliché,454640,/dz3AjGWAPV4cK8lRDY0DdaVfGUK.jpg,thurop van orman jason sudeikis josh gad danny mcbride family comedy adventure animation island rivalry sequel family based on video game animal kingdom cliché
Pokémon Detective Pikachu,Rob Letterman,Ryan Reynolds,Justice Smith,Kathryn Newton,Action Adventure Fantasy,amnesia detective car crash whodunit based on video game missing person missing parent buddy comedy neo-noir live action and animation amused,447404,/uhWvnFgg3BNlcUz0Re1HfQqIcCD.jpg,rob letterman ryan reynolds justice smith kathryn newton action adventure fantasy amnesia detective car crash whodunit based on video game missing person missing parent buddy comedy neo-noir live action and animation amused
The Irishman,Martin Scorsese,Robert De Niro,Al Pacino,Joe Pesci,Crime Drama History,"chicago, illinois philadelphia, pennsylvania based on novel or book hitman war veteran pennsylvania, usa gangster 1970s irish-american male friendship aging family relationships murder organized crime mafia religion detroit, michigan sicilian mafia nonlinear timeline character study labor union 1950s 1960s mob family jimmy hoffa voiceover father daughter relationship criminal as protagonist killer as protagonist",398978,/mbm8k3GFhXS0ROd9AD1gqYbIFbM.jpg,"martin scorsese robert de niro al pacino joe pesci crime drama history chicago, illinois philadelphia, pennsylvania based on novel or book hitman war veteran pennsylvania, usa gangster 1970s irish-american male friendship aging family relationships murder organized crime mafia religion detroit, michigan sicilian mafia nonlinear timeline character study labor union 1950s 1960s mob family jimmy hoffa voiceover father daughter relationship criminal as protagonist killer as protagonist"
The Boy Who Harnessed the Wind,Chiwetel Ejiofor,Maxwell Simba,Chiwetel Ejiofor,Aïssa Maïga,Drama History,africa windmill family power struggle water for life challenge for change dedicated ingenuity dedication struggling life struggle for independence the ingenious one,491480,/yOr7RxHw15MMXNxGMXSmngDqHyI.jpg,chiwetel ejiofor maxwell simba chiwetel ejiofor aïssa maïga drama history africa windmill family power struggle water for life challenge for change dedicated ingenuity dedication struggling life struggle for independence the ingenious one
The Platform,Galder Gaztelu-Urrutia,Ivan Massagué,Antonia San Juan,Zorion Eguileor,Drama Science Fiction Thriller,capitalism survival anarchism complex secret prison food shortage social experiment suspenseful audacious horrified social dynamics,619264,/iXvQnzy6JCAx1PiQEKXuTY04ZHl.jpg,galder gaztelu-urrutia ivan massagué antonia san juan zorion eguileor drama science fiction thriller capitalism survival anarchism complex secret prison food shortage social experiment suspenseful audacious horrified social dynamics
Ma,Tate Taylor,Octavia Spencer,Juliette Lewis,Diana Silvers,Horror Thriller,casino kidnapping psychopath underage drinking revenge murder slasher psychological thriller stabbing veterinary mental illness loner school loner hanging out munchausen syndrome by proxy psychological horror horror,502416,/6n7ASmQ1wY2cxTubFFGlcvPpyk7.jpg,tate taylor octavia spencer juliette lewis diana silvers horror thriller casino kidnapping psychopath underage drinking revenge murder slasher psychological thriller stabbing veterinary mental illness loner school loner hanging out munchausen syndrome by proxy psychological horror horror
Hellboy,Neil Marshall,David Harbour,Milla Jovovich,Ian McShane,Fantasy Horror Action Adventure,"london, england countryside secret society based on comic reboot aftercreditsstinger duringcreditsstinger aggressive tijuana, mexico nazi occultism father son relationship lucha libre baba yaga ailuranthropy arthurian mythology",456740,/bk8LyaMqUtaQ9hUShuvFznQYQKR.jpg,"neil marshall david harbour milla jovovich ian mcshane fantasy horror action adventure london, england countryside secret society based on comic reboot aftercreditsstinger duringcreditsstinger aggressive tijuana, mexico nazi occultism father son relationship lucha libre baba yaga ailuranthropy arthurian mythology"
Godzilla: King of the Monsters,Michael Dougherty,Kyle Chandler,Vera Farmiga,Millie Bobby Brown,Science Fiction Action,"mexico boston, massachusetts giant monster cryptozoology eco terrorism creature feature rodan kaiju aftercreditsstinger global threat animal horror king ghidorah sunken city mothra godzilla",373571,/mzOHg7Q5q9yUmY0b9Esu8Qe6Nnm.jpg,"michael dougherty kyle chandler vera farmiga millie bobby brown science fiction action mexico boston, massachusetts giant monster cryptozoology eco terrorism creature feature rodan kaiju aftercreditsstinger global threat animal horror king ghidorah sunken city mothra godzilla"
Just Mercy,Destin Daniel Cretton,Michael B. Jordan,Brie Larson,Jamie Foxx,Drama Crime History,death penalty judge innocence based on true story lawyer electric chair racism execution justice humiliation injustice 1980s legal drama earnest excited based on real person concealing the truth,522212,/2bDZl3PzFLFWe4gaFUQnnaslqT3.jpg,destin daniel cretton michael b. jordan brie larson jamie foxx drama crime history death penalty judge innocence based on true story lawyer electric chair racism execution justice humiliation injustice 1980s legal drama earnest excited based on real person concealing the truth
What Men Want,Adam Shankman,Taraji P. Henson,Aldis Hodge,Josh Brener,Comedy Romance,"telepathy bartender partnership psychic widower single father boxing trainer national basketball association (nba) personal assistant basketball player retelling boys club atlanta, georgia father daughter relationship best friends woman in a man's world best friend's wedding passed over for promotion",487297,/30IiwvIRqPGjUV0bxJkZfnSiCL.jpg,"adam shankman taraji p. henson aldis hodge josh brener comedy romance telepathy bartender partnership psychic widower single father boxing trainer national basketball association (nba) personal assistant basketball player retelling boys club atlanta, georgia father daughter relationship best friends woman in a man's world best friend's wedding passed over for promotion"
Glass,M. Night Shyamalan,James McAvoy,Bruce Willis,Samuel L. Jackson,Thriller Drama Science Fiction,"philadelphia, pennsylvania superhero villain sequel psychiatric hospital comic book shop super power mental illness macabre multiple personality mysterious dissociative identity disorder surveillance specialist ominous",450465,/svIDTNUoajS8dLEo7EosxvyAsgJ.jpg,"m. night shyamalan james mcavoy bruce willis samuel l. jackson thriller drama science fiction philadelphia, pennsylvania superhero villain sequel psychiatric hospital comic book shop super power mental illness macabre multiple personality mysterious dissociative identity disorder surveillance specialist ominous"
Escape Room,Adam Robitel,Taylor Russell,Logan Miller,Jay Ellis,Horror Thriller Mystery,"chicago, illinois key riddle code puzzle game clue magnet box cube escape room traumatized person teamwork mysterious box sliding puzzle pool table death game",522681,/8Ls1tZ6qjGzfGHjBB7ihOnf7f0b.jpg,"adam robitel taylor russell logan miller jay ellis horror thriller mystery chicago, illinois key riddle code puzzle game clue magnet box cube escape room traumatized person teamwork mysterious box sliding puzzle pool table death game"
My Hero Academia: Heroes Rising,Kenji Nagasaki,Daiki Yamashita,Nobuhiko Okamoto,Yoshio Inoue,Animation Action Fantasy Adventure,japan hero superhero fighting super power shounen anime,592350,/kpWsIkfXrnQ1pmR79qAHHq7DPxc.jpg,kenji nagasaki daiki yamashita nobuhiko okamoto yoshio inoue animation action fantasy adventure japan hero superhero fighting super power shounen anime
A Dog's Way Home,Charles Martin Smith,Ashley Judd,Jonah Hauer-King,Edward James Olmos,Drama Adventure Family,based on novel or book new mexico homelessness colorado based on true story pitbull dog veteran avalanche pets pet owner animal control,508763,/pZn87R7gtmMCGGO8KeaAfZDhXLg.jpg,charles martin smith ashley judd jonah hauer-king edward james olmos drama adventure family based on novel or book new mexico homelessness colorado based on true story pitbull dog veteran avalanche pets pet owner animal control
Gemini Man,Ang Lee,Will Smith,Mary Elizabeth Winstead,Clive Owen,Science Fiction Action Adventure Thriller,hitman clone human cloning,453405,/uTALxjQU8e1lhmNjP9nnJ3t2pRU.jpg,ang lee will smith mary elizabeth winstead clive owen science fiction action adventure thriller hitman clone human cloning
The King,David Michôd,Timothée Chalamet,Joel Edgerton,Sean Harris,Drama History War,biography hundred years' war historical fiction british history mentor protégé relationship king of england costume drama 15th century british monarchy medieval england father son relationship medieval france,504949,/8u0QBGUbZcBW59VEAdmeFl9g98N.jpg,david michôd timothée chalamet joel edgerton sean harris drama history war biography hundred years' war historical fiction british history mentor protégé relationship king of england costume drama 15th century british monarchy medieval england father son relationship medieval france
Waves,Trey Edward Shults,"Kelvin Harrison, Jr.",Taylor Russell,Renée Elise Goldsberry,Romance Drama,high school florida regret forgiveness wrestling loss coming of age grief tragedy interracial relationship break-up dying father healing process family dynamics generation z downward spiral father son relationship father daughter relationship brother sister relationship toxic masculinity african american teen pregnancy stepmother stepdaughter relationship high school athlete stepmother stepson relationship diverging narrative,533444,/3xbjL0z8iH8e8L3USyeKGQrBfuZ.jpg,"trey edward shults kelvin harrison, jr. taylor russell renée elise goldsberry romance drama high school florida regret forgiveness wrestling loss coming of age grief tragedy interracial relationship break-up dying father healing process family dynamics generation z downward spiral father son relationship father daughter relationship brother sister relationship toxic masculinity african american teen pregnancy stepmother stepdaughter relationship high school athlete stepmother stepson relationship diverging narrative"
Marriage Story,Noah Baumbach,Adam Driver,Scarlett Johansson,Laura Dern,Drama,"infidelity new york city husband wife relationship parent child relationship theatre group theater director lawyer los angeles, california divorce divorce lawyer criterion thoughtful complex intense",492188,/2JRyCKaRKyJAVpsIHeLvPw5nHmw.jpg,"noah baumbach adam driver scarlett johansson laura dern drama infidelity new york city husband wife relationship parent child relationship theatre group theater director lawyer los angeles, california divorce divorce lawyer criterion thoughtful complex intense"
Demon Slayer: Kimetsu no Yaiba - Sibling's Bond,Haruo Sotozaki,Natsuki Hanae,Akari Kito,Takahiro Sakurai,Animation Action Fantasy Thriller,supernatural gore compilation demon edited from tv series shounen anime based on anime brother sister relationship taisho,820232,/vJUDoYNNKvBqbEPUskgvzPXGEFz.jpg,haruo sotozaki natsuki hanae akari kito takahiro sakurai animation action fantasy thriller supernatural gore compilation demon edited from tv series shounen anime based on anime brother sister relationship taisho
Tall Girl,Nzingha Stewart,Ava Michelle,Sabrina Carpenter,Steve Zahn,Comedy Drama Romance,high school romance teen movie insecurity,625450,/m0clsFEXidLVJ0TueqWOvvImOMh.jpg,nzingha stewart ava michelle sabrina carpenter steve zahn comedy drama romance high school romance teen movie insecurity
Shazam!,David F. Sandberg,Zachary Levi,Mark Strong,Asher Angel,Action Comedy Fantasy,"philadelphia, pennsylvania magic secret identity superhero based on comic wizard superhuman strength aftercreditsstinger duringcreditsstinger christmas dc extended universe (dceu) flossing",287947,/xnopI5Xtky18MPhK40cZAGAOVeV.jpg,"david f. sandberg zachary levi mark strong asher angel action comedy fantasy philadelphia, pennsylvania magic secret identity superhero based on comic wizard superhuman strength aftercreditsstinger duringcreditsstinger christmas dc extended universe (dceu) flossing"
Doctor Sleep,Mike Flanagan,Ewan McGregor,Kyliegh Curran,Rebecca Ferguson,Horror Fantasy,based on novel or book supernatural haunted house melancholy sequel psychic power reflective tense compassionate,501170,/p69QzIBbN06aTYqRRiCOY1emNBh.jpg,mike flanagan ewan mcgregor kyliegh curran rebecca ferguson horror fantasy based on novel or book supernatural haunted house melancholy sequel psychic power reflective tense compassionate
Inside Man: Most Wanted,M.J. Bassett,Aml Ameen,Rhea Seehorn,Roxanne McKee,Action Crime Thriller,neo-nazism hostage-taking bank robbery hostage negotiator,619278,/zcDZisqVQK9akfKgyrB9HYzYuVh.jpg,m.j. bassett aml ameen rhea seehorn roxanne mckee action crime thriller neo-nazism hostage-taking bank robbery hostage negotiator
Polar,Jonas Åkerlund,Mads Mikkelsen,Vanessa Hudgens,Katheryn Winnick,Action Crime Drama,assassin hitman montana chile based on graphic novel isolated house criminal organization neo-noir forced retirement amused,483906,/qOBEpKVLl8Q9CZScbOcRRVISezV.jpg,jonas åkerlund mads mikkelsen vanessa hudgens katheryn winnick action crime drama assassin hitman montana chile based on graphic novel isolated house criminal organization neo-noir forced retirement amused
Extreme Job,Lee Byeong-heon,Ryu Seung-ryong,Lee Ha-nee,Jin Sun-kyu,Action Comedy Crime,drug crime police ambush detective chicken undercover cop police officer fried chicken south korea korean cuisine amused,567646,/52oLgq2gEiZyDjpJ7tgkGruoQI0.jpg,lee byeong-heon ryu seung-ryong lee ha-nee jin sun-kyu action comedy crime drug crime police ambush detective chicken undercover cop police officer fried chicken south korea korean cuisine amused
The Lighthouse,Robert Eggers,Robert Pattinson,Willem Dafoe,Valeriia Karaman,Drama Fantasy Thriller,island nightmare isolation mermaid hallucination lighthouse lighthouse keeper    black and white storm male masturbation new england madness drunkenness 19th century isolated island foreboding,503919,/f1tIYarTbkBdIT1aW0gzelDwknv.jpg,robert eggers robert pattinson willem dafoe valeriia karaman drama fantasy thriller island nightmare isolation mermaid hallucination lighthouse lighthouse keeper    black and white storm male masturbation new england madness drunkenness 19th century isolated island foreboding
Descendants 3,Kenny Ortega,Dove Cameron,Cameron Boyce,Sofia Carson,Family TV Movie Adventure Fantasy,magic musical family,506574,/7IRy0iHdaS0JI3ng4ZYlk5gLSFn.jpg,kenny ortega dove cameron cameron boyce sofia carson family tv movie adventure fantasy magic musical family
The Upside,Neil Burger,Kevin Hart,Bryan Cranston,Nicole Kidman,Comedy Drama,based on true story remake class differences caregiver man in wheelchair interracial friendship social differences rich man quadriplegia male nurse handicapped disabled person feel good,440472,/hPZ2caow1PCND6qnerfgn6RTXdm.jpg,neil burger kevin hart bryan cranston nicole kidman comedy drama based on true story remake class differences caregiver man in wheelchair interracial friendship social differences rich man quadriplegia male nurse handicapped disabled person feel good
Murder Mystery,Kyle Newacheck,Adam Sandler,Jennifer Aniston,Luke Evans,Action Comedy Mystery,chase yacht cop money murder monaco inheritance whodunit troubled marriage crime investigation wanted formula one (f1) cheerful,514999,/bSMSO9xupd4R4vwTPqigHn2quLN.jpg,kyle newacheck adam sandler jennifer aniston luke evans action comedy mystery chase yacht cop money murder monaco inheritance whodunit troubled marriage crime investigation wanted formula one (f1) cheerful
Crawl,Alexandre Aja,Kaya Scodelario,Barry Pepper,Morfydd Clark,Horror Thriller,florida hurricane animal attack alligator creature flood animal horror crawlspace father daughter relationship,511987,/4WH6AZd473lRZ3hUp8TYiv2LfZW.jpg,alexandre aja kaya scodelario barry pepper morfydd clark horror thriller florida hurricane animal attack alligator creature flood animal horror crawlspace father daughter relationship
Dark Waters,Todd Haynes,Mark Ruffalo,Anne Hathaway,Tim Robbins,Drama Thriller,"pollution grave biography based on true story lawsuit west virginia cancer lawyer biting farmer water pollution questioning government corruption mysterious paranoid grim 1990s somber based on magazine, newspaper or article anxious legal thriller chemical contamination blood test clinical suspenseful critical tense foreboding ominous",552178,/bzvzaHqKBSuGIIWhinTQPHvT0zf.jpg,"todd haynes mark ruffalo anne hathaway tim robbins drama thriller pollution grave biography based on true story lawsuit west virginia cancer lawyer biting farmer water pollution questioning government corruption mysterious paranoid grim 1990s somber based on magazine, newspaper or article anxious legal thriller chemical contamination blood test clinical suspenseful critical tense foreboding ominous"
The Legendary Lighter,Chae Ki-jun,Kim Hae-joon,Park Sharon,Lee Dong-ju,Action,fighting action hero,646315,/h5fCwKCnKAKxdX6onTnrU6MeYe8.jpg,chae ki-jun kim hae-joon park sharon lee dong-ju action fighting action hero
Iron Mask,Oleg Stepchenko,Jason Flemyng,Jackie Chan,Charles Dance,Action Adventure Family Fantasy,affectation sequel taunting zealous satirical playful inspirational provocative whimsical admiring amused approving arrogant celebratory compassionate enchant exuberant familiar sympathetic vibrant,428045,/nM6Mf4UIp8Uw6Jgw40WlY9OnQOS.jpg,oleg stepchenko jason flemyng jackie chan charles dance action adventure family fantasy affectation sequel taunting zealous satirical playful inspirational provocative whimsical admiring amused approving arrogant celebratory compassionate enchant exuberant familiar sympathetic vibrant
Rascal Does Not Dream of a Dreaming Girl,Soichi Masui,Kaito Ishikawa,Asami Seto,Inori Minase,Animation Romance Drama Fantasy,based on novel or book afterlife supernatural sequel tragedy school school life seinen anime time-manipulation japanese high school based on light novel,572154,/AtFnN4OztDJy8IFwYd5JfU0jlEM.jpg,soichi masui kaito ishikawa asami seto inori minase animation romance drama fantasy based on novel or book afterlife supernatural sequel tragedy school school life seinen anime time-manipulation japanese high school based on light novel
Countdown,Justin Dec,Elizabeth Lail,Jordan Calloway,Talitha Eliana Bateman,Horror Thriller,nurse countdown supernatural religion phone terror devil duringcreditsstinger mysterious sinister,599975,/5TQ0kM41vWFWFAPbZGitOxDysZU.jpg,justin dec elizabeth lail jordan calloway talitha eliana bateman horror thriller nurse countdown supernatural religion phone terror devil duringcreditsstinger mysterious sinister
6 Underground,Michael Bay,Ryan Reynolds,Mélanie Laurent,Manuel Garcia-Rulfo,Action Comedy Thriller,"dictator florence, italy shootout fictitious country evil dictator anxious action packed street shootout amused ridiculous",509967,/lnWkyG3LLgbbrIEeyl5mK5VRFe4.jpg,"michael bay ryan reynolds mélanie laurent manuel garcia-rulfo action comedy thriller dictator florence, italy shootout fictitious country evil dictator anxious action packed street shootout amused ridiculous"
Richard Jewell,Clint Eastwood,Paul Walter Hauser,Jon Hamm,Kathy Bates,Drama,biography standard police procedure cautionary tale,292011,/5Lgkm8jt4roAFPZQ52fKMhVmDaZ.jpg,clint eastwood paul walter hauser jon hamm kathy bates drama biography standard police procedure cautionary tale
The Wolf's Call,Antonin Baudry,François Civil,Omar Sy,Mathieu Kassovitz,Thriller Action Adventure,nuclear missile chain of command sonar nuclear submarine french army,484468,/8bxIzp9w9l9ZzGVwNaIKOaem05A.jpg,antonin baudry françois civil omar sy mathieu kassovitz thriller action adventure nuclear missile chain of command sonar nuclear submarine french army
White Snake,Amp Wong,Zhang Zhe,Yang Tianxiang,Tang Xiaoxi,Romance Animation Fantasy,assassin china emperor love dragon poverty ancient 3d animation donghua cartoon snake,573699,/30SLnoKmYNyRPkKCYowsrGLRnJA.jpg,amp wong zhang zhe yang tianxiang tang xiaoxi romance animation fantasy assassin china emperor love dragon poverty ancient 3d animation donghua cartoon snake
Good Boys,Gene Stupnitsky,Jacob Tremblay,Keith L. Williams,Brady Noon,Comedy,drone best friend first kiss sex toy tween generation z child protagonist mischievous spin the bottle playful sarcastic,521777,/tximyCXMEnWIIyOy9STkOduUprG.jpg,gene stupnitsky jacob tremblay keith l. williams brady noon comedy drone best friend first kiss sex toy tween generation z child protagonist mischievous spin the bottle playful sarcastic
Klaus,Sergio Pablos,Jason Schwartzman,J.K. Simmons,Rashida Jones,Animation Family Adventure Comedy Fantasy,friendship small town island holiday santa claus cartoon postman reindeer toy maker christmas 19th century toymaker origin story letters good versus evil sentimental adoring amused cheerful excited optimistic,508965,/q125RHUDgR4gjwh1QkfYuJLYkL.jpg,sergio pablos jason schwartzman j.k. simmons rashida jones animation family adventure comedy fantasy friendship small town island holiday santa claus cartoon postman reindeer toy maker christmas 19th century toymaker origin story letters good versus evil sentimental adoring amused cheerful excited optimistic
Red Shoes and the Seven Dwarfs,Hong Sung-ho,Chloë Grace Moretz,Sam Claflin,Gina Gershon,Animation Fantasy Family Comedy Romance Adventure,shoe calm candid red shoes casual animation didactic whimsical admiring amused appreciative approving enchant snow white the seven dwarfs,486589,/MBiKqTsouYqAACLYNDadsjhhC0.jpg,hong sung-ho chloë grace moretz sam claflin gina gershon animation fantasy family comedy romance adventure shoe calm candid red shoes casual animation didactic whimsical admiring amused appreciative approving enchant snow white the seven dwarfs
The Two Popes,Fernando Meirelles,Jonathan Pryce,Anthony Hopkins,Juan Minujín,Drama History,vatican (holy see) pope based on true story catholic roman catholic church catholicism cardinal conclave papal conclave sistine chapel,551332,/4d4mTSfDIFIbUbMLUfaKodvxYXA.jpg,fernando meirelles jonathan pryce anthony hopkins juan minujín drama history vatican (holy see) pope based on true story catholic roman catholic church catholicism cardinal conclave papal conclave sistine chapel
