movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,keywords,id,poster_path,comb
Making of The Last of Us,Paul C. Rosen,Pedro Pascal,Bella Ramsey,Neil Druckmann,Documentary,behind the scenes making of produkcja filmowa na planie,1100287,/nter1KTaQjmkGCjvSu5u01FoecP.jpg,paul c. rosen pedro pascal bella ramsey neil druckmann documentary behind the scenes making of produkcja filmowa na planie
All of Us Strangers,Andrew Haigh,Andrew Scott,Paul Mescal,Carter John Grout,Romance Drama Fantasy,"london, england based on novel or book isolation screenwriter gay club surrealism nostalgia alcoholism love grief loneliness neighbor memory childhood home death magic realism high rise tower block lgbt record player drunkenness christmas metaphysical father son relationship mother son relationship gay theme independent film apartment boys' love (bl) death of parents depressing dorking, england queer loneliness",994108,/aviJMFZSnnCAsCVyJGaPNx4Ef3i.jpg,"andrew haigh andrew scott paul mescal carter john grout romance drama fantasy london, england based on novel or book isolation screenwriter gay club surrealism nostalgia alcoholism love grief loneliness neighbor memory childhood home death magic realism high rise tower block lgbt record player drunkenness christmas metaphysical father son relationship mother son relationship gay theme independent film apartment boys' love (bl) death of parents depressing dorking, england queer loneliness"
STW,,,,,Drama Romance,,1135850,/zKxhwCiCf9W9fFzVsZlQJzvFkQH.jpg,drama romance
The Other Zoey,Sara Zandieh,Josephine Langford,Drew Starkey,Archie Renaux,Romance Drama Comedy,snowboarding mistaken identity romcom romance duringcreditsstinger teenager comedy admiring adoring,912916,/rh9fwqA98ufdx9vP7V6lLhfpfk1.jpg,sara zandieh josephine langford drew starkey archie renaux romance drama comedy snowboarding mistaken identity romcom romance duringcreditsstinger teenager comedy admiring adoring
Chicken Run: Dawn of the Nugget,Sam Fell,Thandiwe Newton,Zachary Levi,Bella Ramsey,Family Animation Adventure Comedy,rescue chicken villain sequel stop motion animals reboot claymation plasticine arrogant,520758,/exNtEY8QUuQh9e23wSQjkPxKIU3.jpg,sam fell thandiwe newton zachary levi bella ramsey family animation adventure comedy rescue chicken villain sequel stop motion animals reboot claymation plasticine arrogant
Mayhem!,Xavier Gens,Nassim Lyes,Loryn Nounay,Olivier Gourmet,Action Crime Drama Thriller,fighter gore revenge violence action,959092,/u9035lysUz3ccloQt0SeIp1Mu8a.jpg,xavier gens nassim lyes loryn nounay olivier gourmet action crime drama thriller fighter gore revenge violence action
Strays,Josh Greenbaum,Will Ferrell,Jamie Foxx,Isla Fisher,Comedy Adventure,talking dog magic mushroom crude humor male masturbation duringcreditsstinger animal liberation self-liberation abandonment abandoned puppy toxic relationship talking animal,912908,/n1hqbSCtyBAxaXEl1Dj3ipXJAJG.jpg,josh greenbaum will ferrell jamie foxx isla fisher comedy adventure talking dog magic mushroom crude humor male masturbation duringcreditsstinger animal liberation self-liberation abandonment abandoned puppy toxic relationship talking animal
Creation of the Gods I: Kingdom of Storms,Wuershan,Kris Phillips,Li Xuejian,Huang Bo,Action Fantasy War,monster based on novel or book mythological beast high fantasy physical immortality chinese mythology,856289,/n3Vy8oJEGqvaFurE7e7QJbF4mGs.jpg,wuershan kris phillips li xuejian huang bo action fantasy war monster based on novel or book mythological beast high fantasy physical immortality chinese mythology
No One Will Save You,Brian Duffield,Kaitlyn Dever,Elizabeth Kaluev,Zack Duhame,Horror Science Fiction Thriller Mystery,isolation trauma alien grief female protagonist home invasion guilt death of mother alien attack reclusive,820609,/ehGIDAMaYy6Eg0o8ga0oqflDjqW.jpg,brian duffield kaitlyn dever elizabeth kaluev zack duhame horror science fiction thriller mystery isolation trauma alien grief female protagonist home invasion guilt death of mother alien attack reclusive
Monster,Hirokazu Kore-eda,Soya Kurokawa,Hinata Hiiragi,Sakura Ando,Mystery Thriller Drama,friendship japan bullying elementary school coming of age school teacher student relationship childhood lgbt childhood friends multiple perspectives masculinity kids somber philosophical mother son relationship gay theme boys' love (bl) lgbt child adoring elementary schools in japan,1050035,/kvUJUyUGOhEoiWWNH04IXoExPE2.jpg,hirokazu kore-eda soya kurokawa hinata hiiragi sakura ando mystery thriller drama friendship japan bullying elementary school coming of age school teacher student relationship childhood lgbt childhood friends multiple perspectives masculinity kids somber philosophical mother son relationship gay theme boys' love (bl) lgbt child adoring elementary schools in japan
